miRNA	status	mi-acc	5p-acc	3p-acc	div
mir-1203	rejected	MI0006335			MIMAT0005866
mir-1204	rejected	MI0006337			MIMAT0005868
mir-1205	rejected	MI0006338			MIMAT0005869
mir-1206	rejected	MI0006339			MIMAT0005870
mir-1207	rejected	MI0006340	MIMAT0005871	MIMAT0005872	
mir-1208	rejected	MI0006341			MIMAT0005873
mir-1224	rejected	MI0003764	MIMAT0005458	MIMAT0005459	
mir-1225	rejected	MI0006311	MIMAT0005572	MIMAT0005573	
mir-1226	rejected	MI0006313	MIMAT0005576	MIMAT0005577	
mir-1227	rejected	MI0006316	MIMAT0022941	MIMAT0005580	
mir-1228	rejected	MI0006318	MIMAT0005582	MIMAT0005583	
mir-1231	rejected	MI0006321			MIMAT0005586
mir-1233-1	rejected	MI0006323	MIMAT0022943	MIMAT0005588	
mir-1233-2	rejected	MI0015973	MIMAT0022943	MIMAT0005588	
mir-1234	rejected	MI0006324		MIMAT0005589	
mir-1236	rejected	MI0006326	MIMAT0022945	MIMAT0005591	
mir-1237	rejected	MI0006327	MIMAT0022946	MIMAT0005592	
mir-1238	rejected	MI0006328	MIMAT0022947	MIMAT0005593	
mir-1243	rejected	MI0006373			MIMAT0005894
mir-1244-1	rejected	MI0006379			MIMAT0005896
mir-1244-2	rejected	MI0015974			MIMAT0005896
mir-1244-3	rejected	MI0015975			MIMAT0005896
mir-1244-4	rejected	MI0031511			MIMAT0005896
mir-1246	rejected	MI0006381			MIMAT0005898
mir-1248	rejected	MI0006383			MIMAT0005900
mir-1250	rejected	MI0006385	MIMAT0005902	MIMAT0026740	
mir-1254-1	rejected	MI0006388			MIMAT0005905
mir-1254-2	rejected	MI0016747			MIMAT0005905
mir-1255a	rejected	MI0006389			MIMAT0005906
mir-1255b-1	rejected	MI0006435	MIMAT0005945		
mir-1255b-2	rejected	MI0006436	MIMAT0005945	MIMAT0022725	
mir-1260a	rejected	MI0006394			MIMAT0005911
mir-1260b	rejected	MI0014197			MIMAT0015041
mir-1261	rejected	MI0006396			MIMAT0005913
mir-1262	rejected	MI0006397			MIMAT0005914
mir-1267	rejected	MI0006404			MIMAT0005921
mir-1268a	rejected	MI0006405			MIMAT0005922
mir-1268b	rejected	MI0016748			MIMAT0018925
mir-1269b	rejected	MI0016888			MIMAT0019059
mir-1272	rejected	MI0006408			MIMAT0005925
mir-1273a	rejected	MI0006409			MIMAT0005926
mir-1273c	rejected	MI0014171			MIMAT0015017
mir-1273d	rejected	MI0014254			MIMAT0015090
mir-1273e	rejected	MI0016059			MIMAT0018079
mir-1273f	rejected	MI0018002			MIMAT0020601
mir-1273g	rejected	MI0018003	MIMAT0020602	MIMAT0022742	
mir-1273h	rejected	MI0025512	MIMAT0030415	MIMAT0030416	
mir-1275	rejected	MI0006415			MIMAT0005929
mir-1279	rejected	MI0006426			MIMAT0005937
mir-1281	rejected	MI0006428			MIMAT0005939
mir-1282	rejected	MI0006429			MIMAT0005940
mir-1285-1	rejected	MI0006346	MIMAT0022719	MIMAT0005876	
mir-1285-2	rejected	MI0006347		MIMAT0005876	
mir-1288	rejected	MI0006432	MIMAT0026743	MIMAT0005942	
mir-1291	rejected	MI0006353			MIMAT0005881
mir-1292	rejected	MI0006433	MIMAT0005943	MIMAT0022948	
mir-1293	rejected	MI0006355			MIMAT0005883
mir-1295b	rejected	MI0019146	MIMAT0022293	MIMAT0022294	
mir-1297	rejected	MI0006358			MIMAT0005886
mir-1302-1	rejected	MI0006362			MIMAT0005890
mir-1302-2	rejected	MI0006363			MIMAT0005890
mir-1302-3	rejected	MI0006364			MIMAT0005890
mir-1302-4	rejected	MI0006365			MIMAT0005890
mir-1302-5	rejected	MI0006366			MIMAT0005890
mir-1302-6	rejected	MI0006367			MIMAT0005890
mir-1302-7	rejected	MI0006368			MIMAT0005890
mir-1302-8	rejected	MI0006369			MIMAT0005890
mir-1302-9	rejected	MI0015978			MIMAT0005890
mir-1302-10	rejected	MI0015979			MIMAT0005890
mir-1302-11	rejected	MI0015980			MIMAT0005890
mir-1303	rejected	MI0006370			MIMAT0005891
mir-1304	rejected	MI0006371	MIMAT0005892	MIMAT0022720	
mir-1321	rejected	MI0006652			MIMAT0005952
mir-1322	rejected	MI0006653			MIMAT0005953
mir-1469	rejected	MI0007074			MIMAT0007347
mir-1470	rejected	MI0007075			MIMAT0007348
mir-1537	rejected	MI0007258	MIMAT0026765	MIMAT0007399	
mir-1538	rejected	MI0007259			MIMAT0007400
mir-1587	rejected	MI0016905			MIMAT0019077
mir-1825	rejected	MI0008193			MIMAT0006765
mir-1909	rejected	MI0008330	MIMAT0007882	MIMAT0007883	
mir-1914	rejected	MI0008335	MIMAT0007889	MIMAT0007890	
mir-1915	rejected	MI0008336	MIMAT0007891	MIMAT0007892	
mir-1972-1	rejected	MI0009982			MIMAT0009447
mir-1972-2	rejected	MI0015977			MIMAT0009447
mir-1973	rejected	MI0009983			MIMAT0009448
mir-1976	rejected	MI0009986			MIMAT0009451
mir-2052	rejected	MI0010486			MIMAT0009977
mir-2110	rejected	MI0010629			MIMAT0010133
mir-2114	rejected	MI0010633	MIMAT0011156	MIMAT0011157	
mir-2276	rejected	MI0011282	MIMAT0026921	MIMAT0011775	
mir-2682	rejected	MI0012063	MIMAT0013517	MIMAT0013518	
mir-2861	rejected	MI0013006			MIMAT0013802
mir-3064	rejected	MI0017375	MIMAT0019864	MIMAT0019865	
mir-3122	rejected	MI0014138			MIMAT0014984
mir-3123	rejected	MI0014139			MIMAT0014985
mir-3124	rejected	MI0014140	MIMAT0014986	MIMAT0019200	
mir-3125	rejected	MI0014142			MIMAT0014988
mir-3129	rejected	MI0014146	MIMAT0014992	MIMAT0019202	
mir-3134	rejected	MI0014155			MIMAT0015000
mir-3135a	rejected	MI0014156			MIMAT0015001
mir-3135b	rejected	MI0016809			MIMAT0018985
mir-3138	rejected	MI0014161			MIMAT0015006
mir-3141	rejected	MI0014165			MIMAT0015010
mir-3142	rejected	MI0014166			MIMAT0015011
mir-3143	rejected	MI0014167			MIMAT0015012
mir-3152	rejected	MI0014179	MIMAT0019207	MIMAT0015025	
mir-3154	rejected	MI0014182			MIMAT0015028
mir-3155a	rejected	MI0014183			MIMAT0015029
mir-3157	rejected	MI0014185	MIMAT0015031	MIMAT0019210	
mir-3159	rejected	MI0014188			MIMAT0015033
mir-3160-1	rejected	MI0014189	MIMAT0019212	MIMAT0015034	
mir-3162	rejected	MI0014192	MIMAT0015036	MIMAT0019213	
mir-3166	rejected	MI0014196			MIMAT0015040
mir-3168	rejected	MI0014199			MIMAT0015043
mir-3175	rejected	MI0014209			MIMAT0015052
mir-3176	rejected	MI0014210			MIMAT0015053
mir-3177	rejected	MI0014211	MIMAT0019215	MIMAT0015054	
mir-3178	rejected	MI0014212			MIMAT0015055
mir-3180-4	rejected	MI0016408			MIMAT0018178
mir-3180-5	rejected	MI0016409			MIMAT0018178
mir-3182	rejected	MI0014224			MIMAT0015062
mir-3184	rejected	MI0014226	MIMAT0015064	MIMAT0022731	
mir-3188	rejected	MI0014232			MIMAT0015070
mir-3189	rejected	MI0014233	MIMAT0019217	MIMAT0015071	
mir-3190	rejected	MI0014235	MIMAT0015073	MIMAT0022839	
mir-3191	rejected	MI0014236	MIMAT0022732	MIMAT0015075	
mir-3192	rejected	MI0014237	MIMAT0015076	MIMAT0027027	
mir-3193	rejected	MI0014238			MIMAT0015077
mir-3195	rejected	MI0014240			MIMAT0015079
mir-3196	rejected	MI0014241			MIMAT0015080
mir-3197	rejected	MI0014245			MIMAT0015082
mir-3198-1	rejected	MI0014246			MIMAT0015083
mir-3198-2	rejected	MI0017335			MIMAT0015083
mir-3199-1	rejected	MI0014247			MIMAT0015084
mir-3199-2	rejected	MI0014248			MIMAT0015084
mir-3201	rejected	MI0014250			MIMAT0015086
mir-3202-1	rejected	MI0014252			MIMAT0015089
mir-3202-2	rejected	MI0014253			MIMAT0015089
mir-3606	rejected	MI0015996	MIMAT0017983	MIMAT0022965	
mir-3607	rejected	MI0015997	MIMAT0017984	MIMAT0017985	
mir-3609	rejected	MI0015999			MIMAT0017986
mir-3610	rejected	MI0016000			MIMAT0017987
mir-3615	rejected	MI0016005			MIMAT0017994
mir-3616	rejected	MI0016006	MIMAT0017995	MIMAT0017996	
mir-3620	rejected	MI0016011	MIMAT0022967	MIMAT0018001	
mir-3646	rejected	MI0016046			MIMAT0018065
mir-3648-1	rejected	MI0016048			MIMAT0018068
mir-3648-2	rejected	MI0031512			MIMAT0018068
mir-3649	rejected	MI0016049			MIMAT0018069
mir-3651	rejected	MI0016051			MIMAT0018071
mir-3652	rejected	MI0016052			MIMAT0018072
mir-3653	rejected	MI0016053	MIMAT0032110	MIMAT0018073	
mir-3654	rejected	MI0016054			MIMAT0018074
mir-3655	rejected	MI0016055			MIMAT0018075
mir-3656	rejected	MI0016056			MIMAT0018076
mir-3657	rejected	MI0016057			MIMAT0018077
mir-3658	rejected	MI0016058			MIMAT0018078
mir-3659	rejected	MI0016060			MIMAT0018080
mir-3661	rejected	MI0016062			MIMAT0018082
mir-3664	rejected	MI0016065	MIMAT0018086	MIMAT0019220	
mir-3665	rejected	MI0016066			MIMAT0018087
mir-3666	rejected	MI0016067			MIMAT0018088
mir-3667	rejected	MI0016068	MIMAT0018089	MIMAT0018090	
mir-3670-1	rejected	MI0016071			MIMAT0018093
mir-3670-2	rejected	MI0019112			MIMAT0018093
mir-3670-3	rejected	MI0031513			MIMAT0018093
mir-3670-4	rejected	MI0031514			MIMAT0018093
mir-3671	rejected	MI0016072			MIMAT0018094
mir-3674	rejected	MI0016075			MIMAT0018097
mir-3675	rejected	MI0016076	MIMAT0018098	MIMAT0018099	
mir-3677	rejected	MI0016078	MIMAT0019221	MIMAT0018101	
mir-3678	rejected	MI0016079	MIMAT0018102	MIMAT0018103	
mir-3680-1	rejected	MI0016081	MIMAT0018106	MIMAT0018107	
mir-3680-2	rejected	MI0019113	MIMAT0018106	MIMAT0018107	
mir-3682	rejected	MI0016083	MIMAT0019222	MIMAT0018110	
mir-3685	rejected	MI0016086			MIMAT0018113
mir-3687-1	rejected	MI0016088			MIMAT0018115
mir-3687-2	rejected	MI0031515			MIMAT0018115
mir-3689a	rejected	MI0016090	MIMAT0018117	MIMAT0018118	
mir-3689b	rejected	MI0016411	MIMAT0018180	MIMAT0018181	
mir-3689c	rejected	MI0016832			MIMAT0019007
mir-3689d-1	rejected	MI0016834			MIMAT0019008
mir-3689d-2	rejected	MI0016835			MIMAT0019008
mir-3689e	rejected	MI0016836			MIMAT0019009
mir-3689f	rejected	MI0016837			MIMAT0019010
mir-3691	rejected	MI0016092	MIMAT0018120	MIMAT0019224	
mir-3692	rejected	MI0016093	MIMAT0018121	MIMAT0018122	
mir-3907	rejected	MI0016410			MIMAT0018179
mir-3908	rejected	MI0016412			MIMAT0018182
mir-3912	rejected	MI0016416	MIMAT0027036	MIMAT0018186	
mir-3913-1	rejected	MI0016417	MIMAT0018187	MIMAT0019225	
mir-3913-2	rejected	MI0016418	MIMAT0018187	MIMAT0019225	
mir-3914-1	rejected	MI0016419			MIMAT0018188
mir-3916	rejected	MI0016422			MIMAT0018190
mir-3917	rejected	MI0016423			MIMAT0018191
mir-3921	rejected	MI0016428			MIMAT0018196
mir-3922	rejected	MI0016429	MIMAT0019227	MIMAT0018197	
mir-3925	rejected	MI0016433	MIMAT0018200	MIMAT0019228	
mir-3926-1	rejected	MI0016434			MIMAT0018201
mir-3928	rejected	MI0016438	MIMAT0027037	MIMAT0018205	
mir-3929	rejected	MI0016439			MIMAT0018206
mir-3934	rejected	MI0016590	MIMAT0018349	MIMAT0022975	
mir-3939	rejected	MI0016596			MIMAT0018355
mir-3941	rejected	MI0016598			MIMAT0018357
mir-3945	rejected	MI0016602			MIMAT0018361
mir-3960	rejected	MI0016964			MIMAT0019337
mir-3973	rejected	MI0016991			MIMAT0019358
mir-3974	rejected	MI0016992			MIMAT0019359
mir-3976	rejected	MI0016994			MIMAT0019361
mir-3977	rejected	MI0016995			MIMAT0019362
mir-3978	rejected	MI0016996			MIMAT0019363
mir-4251	rejected	MI0015861			MIMAT0016883
mir-4252	rejected	MI0015864			MIMAT0016886
mir-4253	rejected	MI0015860			MIMAT0016882
mir-4254	rejected	MI0015862			MIMAT0016884
mir-4255	rejected	MI0015863			MIMAT0016885
mir-4256	rejected	MI0015855			MIMAT0016877
mir-4257	rejected	MI0015856			MIMAT0016878
mir-4258	rejected	MI0015857			MIMAT0016879
mir-4259	rejected	MI0015858			MIMAT0016880
mir-4260	rejected	MI0015859			MIMAT0016881
mir-4261	rejected	MI0015868			MIMAT0016890
mir-4262	rejected	MI0015872			MIMAT0016894
mir-4263	rejected	MI0015876			MIMAT0016898
mir-4264	rejected	MI0015877			MIMAT0016899
mir-4265	rejected	MI0015869			MIMAT0016891
mir-4266	rejected	MI0015870			MIMAT0016892
mir-4267	rejected	MI0015871			MIMAT0016893
mir-4269	rejected	MI0015875			MIMAT0016897
mir-4271	rejected	MI0015879			MIMAT0016901
mir-4272	rejected	MI0015880			MIMAT0016902
mir-4273	rejected	MI0015881			MIMAT0016903
mir-4274	rejected	MI0015884			MIMAT0016906
mir-4275	rejected	MI0015883			MIMAT0016905
mir-4276	rejected	MI0015882			MIMAT0016904
mir-4278	rejected	MI0015888			MIMAT0016910
mir-4279	rejected	MI0015887			MIMAT0016909
mir-4281	rejected	MI0015885			MIMAT0016907
mir-4282	rejected	MI0015890			MIMAT0016912
mir-4283-1	rejected	MI0015892			MIMAT0016914
mir-4283-2	rejected	MI0015982			MIMAT0016914
mir-4284	rejected	MI0015893			MIMAT0016915
mir-4285	rejected	MI0015891			MIMAT0016913
mir-4286	rejected	MI0015894			MIMAT0016916
mir-4287	rejected	MI0015895			MIMAT0016917
mir-4288	rejected	MI0015896			MIMAT0016918
mir-4289	rejected	MI0015898			MIMAT0016920
mir-4290	rejected	MI0015899			MIMAT0016921
mir-4291	rejected	MI0015900			MIMAT0016922
mir-4292	rejected	MI0015897			MIMAT0016919
mir-4293	rejected	MI0015826			MIMAT0016848
mir-4294	rejected	MI0015827			MIMAT0016849
mir-4295	rejected	MI0015822			MIMAT0016844
mir-4296	rejected	MI0015823			MIMAT0016845
mir-4297	rejected	MI0015824			MIMAT0016846
mir-4298	rejected	MI0015830			MIMAT0016852
mir-4299	rejected	MI0015829			MIMAT0016851
mir-4300	rejected	MI0015831			MIMAT0016853
mir-4302	rejected	MI0015833			MIMAT0016855
mir-4303	rejected	MI0015834			MIMAT0016856
mir-4304	rejected	MI0015832			MIMAT0016854
mir-4305	rejected	MI0015835			MIMAT0016857
mir-4306	rejected	MI0015836			MIMAT0016858
mir-4307	rejected	MI0015838			MIMAT0016860
mir-4308	rejected	MI0015839			MIMAT0016861
mir-4309	rejected	MI0015837			MIMAT0016859
mir-4310	rejected	MI0015840			MIMAT0016862
mir-4311	rejected	MI0015841			MIMAT0016863
mir-4312	rejected	MI0015842			MIMAT0016864
mir-4314	rejected	MI0015846			MIMAT0016868
mir-4315-1	rejected	MI0015844			MIMAT0016866
mir-4315-2	rejected	MI0015983			MIMAT0016866
mir-4316	rejected	MI0015845			MIMAT0016867
mir-4317	rejected	MI0015850			MIMAT0016872
mir-4318	rejected	MI0015847			MIMAT0016869
mir-4319	rejected	MI0015848			MIMAT0016870
mir-4320	rejected	MI0015849			MIMAT0016871
mir-4321	rejected	MI0015852			MIMAT0016874
mir-4322	rejected	MI0015851			MIMAT0016873
mir-4323	rejected	MI0015853			MIMAT0016875
mir-4324	rejected	MI0015854			MIMAT0016876
mir-4325	rejected	MI0015865			MIMAT0016887
mir-4326	rejected	MI0015866			MIMAT0016888
mir-4328	rejected	MI0015904			MIMAT0016926
mir-4329	rejected	MI0015901			MIMAT0016923
mir-4330	rejected	MI0015902			MIMAT0016924
mir-4417	rejected	MI0016753			MIMAT0018929
mir-4418	rejected	MI0016754			MIMAT0018930
mir-4419a	rejected	MI0016755			MIMAT0018931
mir-4419b	rejected	MI0016861			MIMAT0019034
mir-4422	rejected	MI0016759			MIMAT0018935
mir-4423	rejected	MI0016760	MIMAT0019232	MIMAT0018936	
mir-4426	rejected	MI0016765			MIMAT0018941
mir-4430	rejected	MI0016769			MIMAT0018945
mir-4431	rejected	MI0016771			MIMAT0018947
mir-4432	rejected	MI0016772			MIMAT0018948
mir-4433	rejected				
mir-4434	rejected	MI0016774			MIMAT0018950
mir-4436a	rejected	MI0016776			MIMAT0018952
mir-4436b-1	rejected	MI0017425	MIMAT0019940	MIMAT0019941	
mir-4436b-2	rejected	MI0019110	MIMAT0019940	MIMAT0019941	
mir-4437	rejected	MI0016778			MIMAT0018953
mir-4441	rejected	MI0016784			MIMAT0018959
mir-4442	rejected	MI0016785			MIMAT0018960
mir-4443	rejected	MI0016786			MIMAT0018961
mir-4444-1	rejected	MI0016787			MIMAT0018962
mir-4444-2	rejected	MI0019111			MIMAT0018962
mir-4445	rejected	MI0016788	MIMAT0018963	MIMAT0018964	
mir-4446	rejected	MI0016789	MIMAT0019233	MIMAT0018965	
mir-4447	rejected	MI0016790			MIMAT0018966
mir-4448	rejected	MI0016791			MIMAT0018967
mir-4449	rejected	MI0016792			MIMAT0018968
mir-4451	rejected	MI0016797			MIMAT0018973
mir-4452	rejected	MI0016798			MIMAT0018974
mir-4453	rejected	MI0016799			MIMAT0018975
mir-4454	rejected	MI0016800			MIMAT0018976
mir-4455	rejected	MI0016801			MIMAT0018977
mir-4456	rejected	MI0016802			MIMAT0018978
mir-4459	rejected	MI0016805			MIMAT0018981
mir-4461	rejected	MI0016807			MIMAT0018983
mir-4463	rejected	MI0016811			MIMAT0018987
mir-4464	rejected	MI0016812			MIMAT0018988
mir-4466	rejected	MI0016817			MIMAT0018993
mir-4468	rejected	MI0016819			MIMAT0018995
mir-4470	rejected	MI0016821			MIMAT0018997
mir-4472-1	rejected	MI0016823			MIMAT0018999
mir-4472-2	rejected	MI0016824			MIMAT0018999
mir-4473	rejected	MI0016825			MIMAT0019000
mir-4474	rejected	MI0016826	MIMAT0019234	MIMAT0019001	
mir-4476	rejected	MI0016828			MIMAT0019003
mir-4478	rejected	MI0016831			MIMAT0019006
mir-4479	rejected	MI0016838			MIMAT0019011
mir-4481	rejected	MI0016842			MIMAT0019015
mir-4483	rejected	MI0016844			MIMAT0019017
mir-4484	rejected	MI0016845			MIMAT0019018
mir-4485	rejected	MI0016846	MIMAT0032116	MIMAT0019019	
mir-4486	rejected	MI0016847			MIMAT0019020
mir-4487	rejected	MI0016848			MIMAT0019021
mir-4488	rejected	MI0016849			MIMAT0019022
mir-4489	rejected	MI0016850			MIMAT0019023
mir-4491	rejected	MI0016853			MIMAT0019026
mir-4492	rejected	MI0016854			MIMAT0019027
mir-4496	rejected	MI0016858			MIMAT0019031
mir-4497	rejected	MI0016859			MIMAT0019032
mir-4499	rejected	MI0016862			MIMAT0019035
mir-4500	rejected	MI0016863			MIMAT0019036
mir-4502	rejected	MI0016865			MIMAT0019038
mir-4504	rejected	MI0016867			MIMAT0019040
mir-4505	rejected	MI0016868			MIMAT0019041
mir-4508	rejected	MI0016872			MIMAT0019045
mir-4510	rejected	MI0016876			MIMAT0019047
mir-4511	rejected	MI0016877			MIMAT0019048
mir-4512	rejected	MI0016878			MIMAT0019049
mir-4513	rejected	MI0016879			MIMAT0019050
mir-4514	rejected	MI0016880			MIMAT0019051
mir-4515	rejected	MI0016881			MIMAT0019052
mir-4516	rejected	MI0016882			MIMAT0019053
mir-4518	rejected	MI0016884			MIMAT0019055
mir-4519	rejected	MI0016885			MIMAT0019056
mir-4520-1	rejected	MI0016886	MIMAT0019235	MIMAT0019057	
mir-4520-2	rejected	MI0017358	MIMAT0019235	MIMAT0020300	
mir-4521	rejected	MI0016887			MIMAT0019058
mir-4522	rejected	MI0016889			MIMAT0019060
mir-4525	rejected	MI0016892			MIMAT0019064
mir-4529	rejected	MI0016896	MIMAT0019236	MIMAT0019068	
mir-4530	rejected	MI0016897			MIMAT0019069
mir-4531	rejected	MI0016898			MIMAT0019070
mir-4532	rejected	MI0016899			MIMAT0019071
mir-4533	rejected	MI0016900			MIMAT0019072
mir-4534	rejected	MI0016901			MIMAT0019073
mir-4535	rejected	MI0016903			MIMAT0019075
mir-4536-1	rejected	MI0016906	MIMAT0019078	MIMAT0020959	
mir-4536-2	rejected	MI0019149	MIMAT0019078	MIMAT0020959	
mir-4537	rejected	MI0016908			MIMAT0019080
mir-4538	rejected	MI0016909			MIMAT0019081
mir-4539	rejected	MI0016910			MIMAT0019082
mir-4540	rejected	MI0016911			MIMAT0019083
mir-4632	rejected	MI0017259	MIMAT0022977	MIMAT0019688	
mir-4633	rejected	MI0017260	MIMAT0019689	MIMAT0019690	
mir-4634	rejected	MI0017261			MIMAT0019691
mir-4636	rejected	MI0017263			MIMAT0019693
mir-4638	rejected	MI0017265	MIMAT0019695	MIMAT0019696	
mir-4639	rejected	MI0017266	MIMAT0019697	MIMAT0019698	
mir-4645	rejected	MI0017272	MIMAT0019705	MIMAT0019706	
mir-4646	rejected	MI0017273	MIMAT0019707	MIMAT0019708	
mir-4647	rejected	MI0017274			MIMAT0019709
mir-4648	rejected	MI0017275			MIMAT0019710
mir-4649	rejected	MI0017276	MIMAT0019711	MIMAT0019712	
mir-4650-1	rejected	MI0017277	MIMAT0019713	MIMAT0019714	
mir-4650-2	rejected	MI0017278	MIMAT0019713	MIMAT0019714	
mir-4652	rejected	MI0017280	MIMAT0019716	MIMAT0019717	
mir-4653	rejected	MI0017281	MIMAT0019718	MIMAT0019719	
mir-4655	rejected	MI0017283	MIMAT0019721	MIMAT0019722	
mir-4657	rejected	MI0017285			MIMAT0019724
mir-4658	rejected	MI0017286			MIMAT0019725
mir-4659a	rejected	MI0017287	MIMAT0019726	MIMAT0019727	
mir-4660	rejected	MI0017288			MIMAT0019728
mir-4665	rejected	MI0017295	MIMAT0019739	MIMAT0019740	
mir-4666a	rejected	MI0017296	MIMAT0019741	MIMAT0019742	
mir-4666b	rejected	MI0019299			MIMAT0022485
mir-4667	rejected	MI0017297	MIMAT0019743	MIMAT0019744	
mir-4668	rejected	MI0017298	MIMAT0019745	MIMAT0019746	
mir-4670	rejected	MI0017301	MIMAT0019750	MIMAT0019751	
mir-4671	rejected	MI0017302	MIMAT0019752	MIMAT0019753	
mir-4674	rejected	MI0017305			MIMAT0019756
mir-4676	rejected	MI0017307	MIMAT0019758	MIMAT0019759	
mir-4679-1	rejected	MI0017310			MIMAT0019763
mir-4680	rejected	MI0017312	MIMAT0019764	MIMAT0019765	
mir-4683	rejected	MI0017315			MIMAT0019768
mir-4685	rejected	MI0017317	MIMAT0019771	MIMAT0019772	
mir-4687	rejected	MI0017319	MIMAT0019774	MIMAT0019775	
mir-4688	rejected	MI0017321			MIMAT0019777
mir-4690	rejected	MI0017323	MIMAT0019779	MIMAT0019780	
mir-4691	rejected	MI0017324	MIMAT0019781	MIMAT0019782	
mir-4692	rejected	MI0017325			MIMAT0019783
mir-4693	rejected	MI0017326	MIMAT0019784	MIMAT0019785	
mir-4694	rejected	MI0017327	MIMAT0019786	MIMAT0019787	
mir-4695	rejected	MI0017328	MIMAT0019788	MIMAT0019789	
mir-4697	rejected	MI0017330	MIMAT0019791	MIMAT0019792	
mir-4699	rejected	MI0017332	MIMAT0019794	MIMAT0019795	
mir-4700	rejected	MI0017333	MIMAT0019796	MIMAT0019797	
mir-4701	rejected	MI0017334	MIMAT0019798	MIMAT0019799	
mir-4704	rejected	MI0017337	MIMAT0019803	MIMAT0019804	
mir-4707	rejected	MI0017340	MIMAT0019807	MIMAT0019808	
mir-4708	rejected	MI0017341	MIMAT0019809	MIMAT0019810	
mir-4709	rejected	MI0017342	MIMAT0019811	MIMAT0019812	
mir-4710	rejected	MI0017344			MIMAT0019815
mir-4711	rejected	MI0017345	MIMAT0019816	MIMAT0019817	
mir-4713	rejected	MI0017347	MIMAT0019820	MIMAT0019821	
mir-4714	rejected	MI0017348	MIMAT0019822	MIMAT0019823	
mir-4715	rejected	MI0017349	MIMAT0019824	MIMAT0019825	
mir-4716	rejected	MI0017350	MIMAT0019826	MIMAT0019827	
mir-4717	rejected	MI0017352	MIMAT0019829	MIMAT0019830	
mir-4720	rejected	MI0017355	MIMAT0019833	MIMAT0019834	
mir-4722	rejected	MI0017357	MIMAT0019836	MIMAT0019837	
mir-4723	rejected	MI0017359	MIMAT0019838	MIMAT0019839	
mir-4724	rejected	MI0017361	MIMAT0019841	MIMAT0019842	
mir-4726	rejected	MI0017363	MIMAT0019845	MIMAT0019846	
mir-4728	rejected	MI0017365	MIMAT0019849	MIMAT0019850	
mir-4729	rejected	MI0017366			MIMAT0019851
mir-4732	rejected	MI0017369	MIMAT0019855	MIMAT0019856	
mir-4733	rejected	MI0017370	MIMAT0019857	MIMAT0019858	
mir-4735	rejected	MI0017372	MIMAT0019860	MIMAT0019861	
mir-4736	rejected	MI0017373			MIMAT0019862
mir-4737	rejected	MI0017374			MIMAT0019863
mir-4738	rejected	MI0017376	MIMAT0019866	MIMAT0019867	
mir-4740	rejected	MI0017378	MIMAT0019869	MIMAT0019870	
mir-4742	rejected	MI0017380	MIMAT0019872	MIMAT0019873	
