miRNA	status	mi-acc	5p-acc	3p-acc	div
mir-4743	rejected	MI0017381	MIMAT0019874	MIMAT0022978	
mir-4745	rejected	MI0017384	MIMAT0019878	MIMAT0019879	
mir-4746	rejected	MI0017385	MIMAT0019880	MIMAT0019881	
mir-4747	rejected	MI0017386	MIMAT0019882	MIMAT0019883	
mir-4749	rejected	MI0017388	MIMAT0019885	MIMAT0019886	
mir-4750	rejected	MI0017389	MIMAT0019887	MIMAT0022979	
mir-4753	rejected	MI0017392	MIMAT0019890	MIMAT0019891	
mir-4755	rejected	MI0017395	MIMAT0019895	MIMAT0019896	
mir-4757	rejected	MI0017398	MIMAT0019901	MIMAT0019902	
mir-4758	rejected	MI0017399	MIMAT0019903	MIMAT0019904	
mir-4760	rejected	MI0017401	MIMAT0019906	MIMAT0019907	
mir-4762	rejected	MI0017403	MIMAT0019910	MIMAT0019911	
mir-4763	rejected	MI0017404	MIMAT0019912	MIMAT0019913	
mir-4764	rejected	MI0017405	MIMAT0019914	MIMAT0019915	
mir-4767	rejected	MI0017408			MIMAT0019919
mir-4768	rejected	MI0017409	MIMAT0019920	MIMAT0019921	
mir-4769	rejected	MI0017410	MIMAT0019922	MIMAT0019923	
mir-4770	rejected	MI0017411			MIMAT0019924
mir-4771-1	rejected	MI0017412			MIMAT0019925
mir-4771-2	rejected	MI0017413			MIMAT0019925
mir-4772	rejected	MI0017414	MIMAT0019926	MIMAT0019927	
mir-4774	rejected	MI0017417	MIMAT0019929	MIMAT0019930	
mir-4775	rejected	MI0017418			MIMAT0019931
mir-4776-1	rejected	MI0017419	MIMAT0019932	MIMAT0019933	
mir-4777	rejected	MI0017421	MIMAT0019934	MIMAT0019935	
mir-4778	rejected	MI0017422	MIMAT0019936	MIMAT0019937	
mir-4781	rejected	MI0017426	MIMAT0019942	MIMAT0019943	
mir-4782	rejected	MI0017427	MIMAT0019944	MIMAT0019945	
mir-4783	rejected	MI0017428	MIMAT0019946	MIMAT0019947	
mir-4785	rejected	MI0017430			MIMAT0019949
mir-4786	rejected	MI0017433	MIMAT0019954	MIMAT0019955	
mir-4787	rejected	MI0017434	MIMAT0019956	MIMAT0019957	
mir-4789	rejected	MI0017436	MIMAT0019959	MIMAT0019960	
mir-4790	rejected	MI0017437	MIMAT0019961	MIMAT0019962	
mir-4791	rejected	MI0017438			MIMAT0019963
mir-4792	rejected	MI0017439			MIMAT0019964
mir-4793	rejected	MI0017440	MIMAT0019965	MIMAT0019966	
mir-4795	rejected	MI0017442	MIMAT0019968	MIMAT0019969	
mir-4796	rejected	MI0017443	MIMAT0019970	MIMAT0019971	
mir-4797	rejected	MI0017444	MIMAT0019972	MIMAT0019973	
mir-4799	rejected	MI0017446	MIMAT0019976	MIMAT0019977	
mir-4800	rejected	MI0017448	MIMAT0019978	MIMAT0019979	
mir-4802	rejected	MI0017450	MIMAT0019981	MIMAT0019982	
mir-4804	rejected	MI0017452	MIMAT0019984	MIMAT0019985	
mir-4999	rejected	MI0017865	MIMAT0021017	MIMAT0021018	
mir-5001	rejected	MI0017867	MIMAT0021021	MIMAT0021022	
mir-5006	rejected	MI0017873	MIMAT0021033	MIMAT0021034	
mir-5008	rejected	MI0017876	MIMAT0021039	MIMAT0021040	
mir-5011	rejected	MI0017879	MIMAT0021045	MIMAT0021046	
mir-5047	rejected	MI0017932			MIMAT0020541
mir-5088	rejected	MI0017977	MIMAT0021080	MIMAT0027041	
mir-5089	rejected	MI0017978	MIMAT0021081	MIMAT0022984	
mir-5090	rejected	MI0017979			MIMAT0021082
mir-5091	rejected	MI0017980			MIMAT0021083
mir-5095	rejected	MI0018001			MIMAT0020600
mir-5096	rejected	MI0018004			MIMAT0020603
mir-5100	rejected	MI0019116			MIMAT0022259
mir-5187	rejected	MI0018166	MIMAT0021117	MIMAT0021118	
mir-5188	rejected	MI0018167			MIMAT0021119
mir-5189	rejected	MI0018168	MIMAT0021120	MIMAT0027088	
mir-5191	rejected	MI0018170			MIMAT0021122
mir-5192	rejected	MI0018171			MIMAT0021123
mir-5193	rejected	MI0018172			MIMAT0021124
mir-5196	rejected	MI0018175	MIMAT0021128	MIMAT0021129	
mir-5197	rejected	MI0018176	MIMAT0021130	MIMAT0021131	
mir-5571	rejected	MI0019115	MIMAT0022257	MIMAT0022258	
mir-5572	rejected	MI0019117			MIMAT0022260
mir-5583-1	rejected	MI0019139	MIMAT0022281	MIMAT0022282	
mir-5585	rejected	MI0019142	MIMAT0022285	MIMAT0022286	
mir-5589	rejected	MI0019148	MIMAT0022297	MIMAT0022298	
mir-5590	rejected	MI0019150	MIMAT0022299	MIMAT0022300	
mir-5680	rejected	MI0019280			MIMAT0022468
mir-5682	rejected	MI0019282			MIMAT0022470
mir-5683	rejected	MI0019284			MIMAT0022472
mir-5684	rejected	MI0019285			MIMAT0022473
mir-5689	rejected	MI0019294			MIMAT0022481
mir-5690	rejected	MI0019295			MIMAT0022482
mir-5692a-1	rejected	MI0019297			MIMAT0022484
mir-5692a-2	rejected	MI0019298			MIMAT0022484
mir-5692b	rejected	MI0019311			MIMAT0022497
mir-5692c-1	rejected	MI0019288			MIMAT0022476
mir-5692c-2	rejected	MI0019289			MIMAT0022476
mir-5694	rejected	MI0019301			MIMAT0022487
mir-5695	rejected	MI0019302			MIMAT0022488
mir-5696	rejected	MI0019303			MIMAT0022489
mir-5697	rejected	MI0019304			MIMAT0022490
mir-5698	rejected	MI0019305			MIMAT0022491
mir-5699	rejected	MI0019306	MIMAT0027103	MIMAT0022492	
mir-5701-1	rejected	MI0019308			MIMAT0022494
mir-5701-2	rejected	MI0019593			MIMAT0022494
mir-5701-3	rejected	MI0031522			MIMAT0022494
mir-5703	rejected	MI0019310			MIMAT0022496
mir-5708	rejected	MI0019316			MIMAT0022502
mir-5739	rejected	MI0019412			MIMAT0023116
mir-5787	rejected	MI0019797			MIMAT0023252
mir-6068	rejected	MI0020345			MIMAT0023693
mir-6069	rejected	MI0020346			MIMAT0023694
mir-6071	rejected	MI0020348			MIMAT0023696
mir-6073	rejected	MI0020350			MIMAT0023698
mir-6075	rejected	MI0020352			MIMAT0023700
mir-6076	rejected	MI0020353			MIMAT0023701
mir-6077	rejected	MI0020354			MIMAT0023702
mir-6078	rejected	MI0020355			MIMAT0023703
mir-6080	rejected	MI0020357			MIMAT0023705
mir-6082	rejected	MI0020359			MIMAT0023707
mir-6083	rejected	MI0020360			MIMAT0023708
mir-6084	rejected	MI0020361			MIMAT0023709
mir-6085	rejected	MI0020362			MIMAT0023710
mir-6087	rejected	MI0020364			MIMAT0023712
mir-6088	rejected	MI0020365			MIMAT0023713
mir-6089-1	rejected	MI0020366			MIMAT0023714
mir-6089-2	rejected	MI0023563			MIMAT0023714
mir-6090	rejected	MI0020367			MIMAT0023715
mir-6124	rejected	MI0021258			MIMAT0024597
mir-6125	rejected	MI0021259			MIMAT0024598
mir-6126	rejected	MI0021260			MIMAT0024599
mir-6127	rejected	MI0021271			MIMAT0024610
mir-6128	rejected	MI0021272			MIMAT0024611
mir-6130	rejected	MI0021275			MIMAT0024614
mir-6131	rejected	MI0021276			MIMAT0024615
mir-6132	rejected	MI0021277			MIMAT0024616
mir-6133	rejected	MI0021278			MIMAT0024617
mir-6134	rejected	MI0021279			MIMAT0024618
mir-6165	rejected	MI0021472			MIMAT0024782
mir-6500	rejected	MI0022211	MIMAT0025454	MIMAT0025455	
mir-6501	rejected	MI0022213	MIMAT0025458	MIMAT0025459	
mir-6502	rejected	MI0022214	MIMAT0025460	MIMAT0025461	
mir-6503	rejected	MI0022215	MIMAT0025462	MIMAT0025463	
mir-6504	rejected	MI0022216	MIMAT0025464	MIMAT0025465	
mir-6505	rejected	MI0022217	MIMAT0025466	MIMAT0025467	
mir-6506	rejected	MI0022218	MIMAT0025468	MIMAT0025469	
mir-6507	rejected	MI0022219	MIMAT0025470	MIMAT0025471	
mir-6508	rejected	MI0022220	MIMAT0025472	MIMAT0025473	
mir-6510	rejected	MI0022222	MIMAT0025476	MIMAT0025477	
mir-6511a-1	rejected	MI0022223	MIMAT0025478	MIMAT0025479	
mir-6511a-2	rejected	MI0023564	MIMAT0025478	MIMAT0025479	
mir-6511a-3	rejected	MI0023565	MIMAT0025478	MIMAT0025479	
mir-6511a-4	rejected	MI0023566	MIMAT0025478	MIMAT0025479	
mir-6511b-1	rejected	MI0022552	MIMAT0025847	MIMAT0025848	
mir-6511b-2	rejected	MI0023431	MIMAT0025847	MIMAT0025848	
mir-6512	rejected	MI0022224	MIMAT0025480	MIMAT0025481	
mir-6513	rejected	MI0022225	MIMAT0025482	MIMAT0025483	
mir-6514	rejected	MI0022226	MIMAT0025484	MIMAT0025485	
mir-6515	rejected	MI0022227	MIMAT0025486	MIMAT0025487	
mir-6516	rejected	MI0025513	MIMAT0030417	MIMAT0030418	
mir-6715b	rejected	MI0022549	MIMAT0025842	MIMAT0025843	
mir-6716	rejected	MI0022550	MIMAT0025844	MIMAT0025845	
mir-6717	rejected	MI0022551	MIMAT0025846		
mir-6719	rejected	MI0022554		MIMAT0025850	
mir-6722	rejected	MI0022557	MIMAT0025853	MIMAT0025854	
mir-6723	rejected	MI0022558	MIMAT0025855		
mir-6724-1	rejected	MI0022559	MIMAT0025856		
mir-6724-2	rejected	MI0031516	MIMAT0025856		
mir-6724-3	rejected	MI0031517	MIMAT0025856		
mir-6724-4	rejected	MI0031518	MIMAT0025856		
mir-6726	rejected	MI0022571	MIMAT0027353	MIMAT0027354	
mir-6727	rejected	MI0022572	MIMAT0027355	MIMAT0027356	
mir-6728	rejected	MI0022573	MIMAT0027357	MIMAT0027358	
mir-6729	rejected	MI0022574	MIMAT0027359	MIMAT0027360	
mir-6730	rejected	MI0022575	MIMAT0027361	MIMAT0027362	
mir-6731	rejected	MI0022576	MIMAT0027363	MIMAT0027364	
mir-6732	rejected	MI0022577	MIMAT0027365	MIMAT0027366	
mir-6733	rejected	MI0022578	MIMAT0027367	MIMAT0027368	
mir-6734	rejected	MI0022579	MIMAT0027369	MIMAT0027370	
mir-6735	rejected	MI0022580	MIMAT0027371	MIMAT0027372	
mir-6736	rejected	MI0022581	MIMAT0027373	MIMAT0027374	
mir-6737	rejected	MI0022582	MIMAT0027375	MIMAT0027376	
mir-6738	rejected	MI0022583	MIMAT0027377	MIMAT0027378	
mir-6740	rejected	MI0022585	MIMAT0027381	MIMAT0027382	
mir-6741	rejected	MI0022586	MIMAT0027383	MIMAT0027384	
mir-6742	rejected	MI0022587	MIMAT0027385	MIMAT0027386	
mir-6743	rejected	MI0022588	MIMAT0027387	MIMAT0027388	
mir-6744	rejected	MI0022589	MIMAT0027389	MIMAT0027390	
mir-6745	rejected	MI0022590			MIMAT0027391
mir-6747	rejected	MI0022592	MIMAT0027394	MIMAT0027395	
mir-6749	rejected	MI0022594	MIMAT0027398	MIMAT0027399	
mir-6750	rejected	MI0022595	MIMAT0027400	MIMAT0027401	
mir-6751	rejected	MI0022596	MIMAT0027402	MIMAT0027403	
mir-6752	rejected	MI0022597	MIMAT0027404	MIMAT0027405	
mir-6753	rejected	MI0022598	MIMAT0027406	MIMAT0027407	
mir-6754	rejected	MI0022599	MIMAT0027408	MIMAT0027409	
mir-6756	rejected	MI0022601	MIMAT0027412	MIMAT0027413	
mir-6757	rejected	MI0022602	MIMAT0027414	MIMAT0027415	
mir-6758	rejected	MI0022603	MIMAT0027416	MIMAT0027417	
mir-6759	rejected	MI0022604	MIMAT0027418	MIMAT0027419	
mir-6760	rejected	MI0022605	MIMAT0027420	MIMAT0027421	
mir-6761	rejected	MI0022606	MIMAT0027422	MIMAT0027423	
mir-6762	rejected	MI0022607	MIMAT0027424	MIMAT0027425	
mir-6763	rejected	MI0022608	MIMAT0027426	MIMAT0027427	
mir-6764	rejected	MI0022609	MIMAT0027428	MIMAT0027429	
mir-6765	rejected	MI0022610	MIMAT0027430	MIMAT0027431	
mir-6766	rejected	MI0022611	MIMAT0027432	MIMAT0027433	
mir-6767	rejected	MI0022612	MIMAT0027434	MIMAT0027435	
mir-6768	rejected	MI0022613	MIMAT0027436	MIMAT0027437	
mir-6769a	rejected	MI0022614	MIMAT0027438	MIMAT0027439	
mir-6769b	rejected	MI0022706	MIMAT0027620	MIMAT0027621	
mir-6771	rejected	MI0022616	MIMAT0027442	MIMAT0027443	
mir-6772	rejected	MI0022617	MIMAT0027444	MIMAT0027445	
mir-6773	rejected	MI0022618	MIMAT0027446	MIMAT0027447	
mir-6774	rejected	MI0022619	MIMAT0027448	MIMAT0027449	
mir-6775	rejected	MI0022620	MIMAT0027450	MIMAT0027451	
mir-6776	rejected	MI0022621	MIMAT0027452	MIMAT0027453	
mir-6777	rejected	MI0022622	MIMAT0027454	MIMAT0027455	
mir-6778	rejected	MI0022623	MIMAT0027456	MIMAT0027457	
mir-6779	rejected	MI0022624	MIMAT0027458	MIMAT0027459	
mir-6780a	rejected	MI0022625	MIMAT0027460	MIMAT0027461	
mir-6780b	rejected	MI0022681	MIMAT0027572	MIMAT0027573	
mir-6781	rejected	MI0022626	MIMAT0027462	MIMAT0027463	
mir-6782	rejected	MI0022627	MIMAT0027464	MIMAT0027465	
mir-6783	rejected	MI0022628	MIMAT0027466	MIMAT0027467	
mir-6784	rejected	MI0022629	MIMAT0027468	MIMAT0027469	
mir-6785	rejected	MI0022630	MIMAT0027470	MIMAT0027471	
mir-6786	rejected	MI0022631	MIMAT0027472	MIMAT0027473	
mir-6787	rejected	MI0022632	MIMAT0027474	MIMAT0027475	
mir-6788	rejected	MI0022633	MIMAT0027476	MIMAT0027477	
mir-6789	rejected	MI0022634	MIMAT0027478	MIMAT0027479	
mir-6790	rejected	MI0022635	MIMAT0027480	MIMAT0027481	
mir-6791	rejected	MI0022636	MIMAT0027482	MIMAT0027483	
mir-6792	rejected	MI0022637	MIMAT0027484	MIMAT0027485	
mir-6793	rejected	MI0022638	MIMAT0027486	MIMAT0027487	
mir-6794	rejected	MI0022639	MIMAT0027488	MIMAT0027489	
mir-6795	rejected	MI0022640	MIMAT0027490	MIMAT0027491	
mir-6796	rejected	MI0022641	MIMAT0027492	MIMAT0027493	
mir-6797	rejected	MI0022642	MIMAT0027494	MIMAT0027495	
mir-6798	rejected	MI0022643	MIMAT0027496	MIMAT0027497	
mir-6799	rejected	MI0022644	MIMAT0027498	MIMAT0027499	
mir-6800	rejected	MI0022645	MIMAT0027500	MIMAT0027501	
mir-6801	rejected	MI0022646	MIMAT0027502	MIMAT0027503	
mir-6802	rejected	MI0022647	MIMAT0027504	MIMAT0027505	
mir-6803	rejected	MI0022648	MIMAT0027506	MIMAT0027507	
mir-6804	rejected	MI0022649	MIMAT0027508	MIMAT0027509	
mir-6805	rejected	MI0022650	MIMAT0027510	MIMAT0027511	
mir-6806	rejected	MI0022651	MIMAT0027512	MIMAT0027513	
mir-6807	rejected	MI0022652	MIMAT0027514	MIMAT0027515	
mir-6808	rejected	MI0022653	MIMAT0027516	MIMAT0027517	
mir-6809	rejected	MI0022654	MIMAT0027518	MIMAT0027519	
mir-6810	rejected	MI0022655	MIMAT0027520	MIMAT0027521	
mir-6811	rejected	MI0022656	MIMAT0027522	MIMAT0027523	
mir-6812	rejected	MI0022657	MIMAT0027524	MIMAT0027525	
mir-6813	rejected	MI0022658	MIMAT0027526	MIMAT0027527	
mir-6814	rejected	MI0022659	MIMAT0027528	MIMAT0027529	
mir-6815	rejected	MI0022660	MIMAT0027530	MIMAT0027531	
mir-6816	rejected	MI0022661	MIMAT0027532	MIMAT0027533	
mir-6817	rejected	MI0022662	MIMAT0027534	MIMAT0027535	
mir-6818	rejected	MI0022663	MIMAT0027536	MIMAT0027537	
mir-6819	rejected	MI0022664	MIMAT0027538	MIMAT0027539	
mir-6820	rejected	MI0022665	MIMAT0027540	MIMAT0027541	
mir-6821	rejected	MI0022666	MIMAT0027542	MIMAT0027543	
mir-6822	rejected	MI0022667	MIMAT0027544	MIMAT0027545	
mir-6823	rejected	MI0022668	MIMAT0027546	MIMAT0027547	
mir-6824	rejected	MI0022669	MIMAT0027548	MIMAT0027549	
mir-6825	rejected	MI0022670	MIMAT0027550	MIMAT0027551	
mir-6826	rejected	MI0022671	MIMAT0027552	MIMAT0027553	
mir-6827	rejected	MI0022672	MIMAT0027554	MIMAT0027555	
mir-6828	rejected	MI0022673	MIMAT0027556	MIMAT0027557	
mir-6829	rejected	MI0022674	MIMAT0027558	MIMAT0027559	
mir-6830	rejected	MI0022675	MIMAT0027560	MIMAT0027561	
mir-6831	rejected	MI0022676	MIMAT0027562	MIMAT0027563	
mir-6832	rejected	MI0022677	MIMAT0027564	MIMAT0027565	
mir-6833	rejected	MI0022678	MIMAT0027566	MIMAT0027567	
mir-6834	rejected	MI0022679	MIMAT0027568	MIMAT0027569	
mir-6835	rejected	MI0022680	MIMAT0027570	MIMAT0027571	
mir-6836	rejected	MI0022682	MIMAT0027574	MIMAT0027575	
mir-6837	rejected	MI0022683	MIMAT0027576	MIMAT0027577	
mir-6838	rejected	MI0022684	MIMAT0027578	MIMAT0027579	
mir-6839	rejected	MI0022685	MIMAT0027580	MIMAT0027581	
mir-6840	rejected	MI0022686	MIMAT0027582	MIMAT0027583	
mir-6841	rejected	MI0022687	MIMAT0027584	MIMAT0027585	
mir-6842	rejected	MI0022688	MIMAT0027586	MIMAT0027587	
mir-6843	rejected	MI0022689		MIMAT0027588	
mir-6844	rejected	MI0022690			MIMAT0027589
mir-6845	rejected	MI0022691	MIMAT0027590	MIMAT0027591	
mir-6846	rejected	MI0022692	MIMAT0027592	MIMAT0027593	
mir-6847	rejected	MI0022693	MIMAT0027594	MIMAT0027595	
mir-6848	rejected	MI0022694	MIMAT0027596	MIMAT0027597	
mir-6849	rejected	MI0022695	MIMAT0027598	MIMAT0027599	
mir-6850	rejected	MI0022696	MIMAT0027600	MIMAT0027601	
mir-6852	rejected	MI0022698	MIMAT0027604	MIMAT0027605	
mir-6853	rejected	MI0022699	MIMAT0027606	MIMAT0027607	
mir-6854	rejected	MI0022700	MIMAT0027608	MIMAT0027609	
mir-6855	rejected	MI0022701	MIMAT0027610	MIMAT0027611	
mir-6856	rejected	MI0022702	MIMAT0027612	MIMAT0027613	
mir-6857	rejected	MI0022703	MIMAT0027614	MIMAT0027615	
mir-6858	rejected	MI0022704	MIMAT0027616	MIMAT0027617	
mir-6859-1	rejected	MI0022705	MIMAT0027618	MIMAT0027619	
mir-6859-2	rejected	MI0026420	MIMAT0027618	MIMAT0027619	
mir-6859-3	rejected	MI0026421	MIMAT0027618	MIMAT0027619	
mir-6859-4	rejected	MI0031521	MIMAT0027618	MIMAT0027619	
mir-6860	rejected	MI0022707			MIMAT0027622
mir-6861	rejected	MI0022708	MIMAT0027623	MIMAT0027624	
mir-6862-1	rejected	MI0022709	MIMAT0027625	MIMAT0027626	
mir-6862-2	rejected	MI0026415	MIMAT0027625	MIMAT0027626	
mir-6863	rejected	MI0022710			MIMAT0027627
mir-6864	rejected	MI0022711	MIMAT0027628	MIMAT0027629	
mir-6865	rejected	MI0022712	MIMAT0027630	MIMAT0027631	
mir-6866	rejected	MI0022713	MIMAT0027632	MIMAT0027633	
mir-6867	rejected	MI0022714	MIMAT0027634	MIMAT0027635	
mir-6868	rejected	MI0022715	MIMAT0027636	MIMAT0027637	
mir-6869	rejected	MI0022716	MIMAT0027638	MIMAT0027639	
mir-6870	rejected	MI0022717	MIMAT0027640	MIMAT0027641	
mir-6871	rejected	MI0022718	MIMAT0027642	MIMAT0027643	
mir-6872	rejected	MI0022719	MIMAT0027644	MIMAT0027645	
mir-6873	rejected	MI0022720	MIMAT0027646	MIMAT0027647	
mir-6874	rejected	MI0022721	MIMAT0027648	MIMAT0027649	
mir-6875	rejected	MI0022722	MIMAT0027650	MIMAT0027651	
mir-6876	rejected	MI0022723	MIMAT0027652	MIMAT0027653	
mir-6877	rejected	MI0022724	MIMAT0027654	MIMAT0027655	
mir-6878	rejected	MI0022725	MIMAT0027656	MIMAT0027657	
mir-6879	rejected	MI0022726	MIMAT0027658	MIMAT0027659	
mir-6880	rejected	MI0022727	MIMAT0027660	MIMAT0027661	
mir-6881	rejected	MI0022728	MIMAT0027662	MIMAT0027663	
mir-6882	rejected	MI0022729	MIMAT0027664	MIMAT0027665	
mir-6883	rejected	MI0022730	MIMAT0027666	MIMAT0027667	
mir-6884	rejected	MI0022731	MIMAT0027668	MIMAT0027669	
mir-6885	rejected	MI0022732	MIMAT0027670	MIMAT0027671	
mir-6886	rejected	MI0022733	MIMAT0027672	MIMAT0027673	
mir-6887	rejected	MI0022734	MIMAT0027674	MIMAT0027675	
mir-6888	rejected	MI0022735	MIMAT0027676	MIMAT0027677	
mir-6889	rejected	MI0022736	MIMAT0027678	MIMAT0027679	
mir-6890	rejected	MI0022737	MIMAT0027680	MIMAT0027681	
mir-6891	rejected	MI0022738	MIMAT0027682	MIMAT0027683	
mir-6892	rejected	MI0022739	MIMAT0027684	MIMAT0027685	
mir-6893	rejected	MI0022740	MIMAT0027686	MIMAT0027687	
mir-6894	rejected	MI0022741	MIMAT0027688	MIMAT0027689	
mir-6895	rejected	MI0022742	MIMAT0027690	MIMAT0027691	
mir-7106	rejected	MI0022957	MIMAT0028109	MIMAT0028110	
mir-7107	rejected	MI0022958	MIMAT0028111	MIMAT0028112	
mir-7108	rejected	MI0022959	MIMAT0028113	MIMAT0028114	
mir-7109	rejected	MI0022960	MIMAT0028115	MIMAT0028116	
mir-7110	rejected	MI0022961	MIMAT0028117	MIMAT0028118	
mir-7111	rejected	MI0022962	MIMAT0028119	MIMAT0028120	
mir-7112	rejected	MI0022963	MIMAT0028121	MIMAT0028122	
mir-7113	rejected	MI0022964	MIMAT0028123	MIMAT0028124	
mir-7114	rejected	MI0022965	MIMAT0028125	MIMAT0028126	
mir-7150	rejected	MI0023610			MIMAT0028211
mir-7151	rejected	MI0023611	MIMAT0028212	MIMAT0028213	
mir-7152	rejected	MI0023612	MIMAT0028214	MIMAT0028215	
mir-7153	rejected	MI0023613	MIMAT0028216	MIMAT0028217	
mir-7154	rejected	MI0023614	MIMAT0028218	MIMAT0028219	
mir-7155	rejected	MI0023615	MIMAT0028220	MIMAT0028221	
mir-7156	rejected	MI0023616	MIMAT0028222	MIMAT0028223	
mir-7157	rejected	MI0023617	MIMAT0028224	MIMAT0028225	
mir-7158	rejected	MI0023618	MIMAT0028226	MIMAT0028227	
mir-7159	rejected	MI0023620	MIMAT0028228	MIMAT0028229	
mir-7160	rejected	MI0023621	MIMAT0028230	MIMAT0028231	
mir-7161	rejected	MI0023619	MIMAT0028232	MIMAT0028233	
mir-7162	rejected	MI0023623	MIMAT0028234	MIMAT0028235	
mir-7515	rejected	MI0024354			MIMAT0029310
mir-7641-1	rejected	MI0024975			MIMAT0029782
mir-7641-2	rejected	MI0024976			MIMAT0029782
mir-7702	rejected	MI0025238			MIMAT0030017
mir-7703	rejected	MI0025239			MIMAT0030018
mir-7704	rejected	MI0025240			MIMAT0030019
mir-7705	rejected	MI0025241			MIMAT0030020
mir-7843	rejected	MI0025510	MIMAT0030411	MIMAT0030412	
mir-7844	rejected	MI0025514	MIMAT0030419		
mir-7845	rejected	MI0025515	MIMAT0030420		
mir-7846	rejected	MI0025516		MIMAT0030421	
mir-7847	rejected	MI0025517		MIMAT0030422	
mir-7848	rejected	MI0025518		MIMAT0030423	
mir-7849	rejected	MI0025519		MIMAT0030424	
mir-7850	rejected	MI0025520	MIMAT0030425		
mir-7851	rejected	MI0025521		MIMAT0030426	
mir-7852	rejected	MI0025522		MIMAT0030427	
mir-7853	rejected	MI0025523	MIMAT0030428		
mir-7854	rejected	MI0025524		MIMAT0030429	
mir-7855	rejected	MI0025525	MIMAT0030430		
mir-7856	rejected	MI0025526	MIMAT0030431		
mir-7974	rejected	MI0025750			MIMAT0031177
mir-7975	rejected	MI0025751			MIMAT0031178
mir-7976	rejected	MI0025752			MIMAT0031179
mir-7977	rejected	MI0025753			MIMAT0031180
mir-7978	rejected	MI0025754			MIMAT0031181
mir-8052	rejected	MI0025888			MIMAT0030979
mir-8053	rejected	MI0025889			MIMAT0030980
mir-8054	rejected	MI0025890			MIMAT0030981
mir-8055	rejected	MI0025891			MIMAT0030982
mir-8056	rejected	MI0025892			MIMAT0030983
mir-8057	rejected	MI0025893			MIMAT0030984
mir-8058	rejected	MI0025894			MIMAT0030985
mir-8059	rejected	MI0025895			MIMAT0030986
mir-8060	rejected	MI0025896			MIMAT0030987
mir-8061	rejected	MI0025897			MIMAT0030988
mir-8062	rejected	MI0025898			MIMAT0030989
mir-8063	rejected	MI0025899			MIMAT0030990
mir-8064	rejected	MI0025900			MIMAT0030991
mir-8065	rejected	MI0025901			MIMAT0030992
mir-8066	rejected	MI0025902			MIMAT0030993
mir-8067	rejected	MI0025903			MIMAT0030994
mir-8068	rejected	MI0025904			MIMAT0030995
mir-8069-1	rejected	MI0025905			MIMAT0030996
mir-8069-2	rejected	MI0031519			MIMAT0030996
mir-8070	rejected	MI0025906			MIMAT0030997
mir-8071-1	rejected	MI0025907			MIMAT0030998
mir-8071-2	rejected	MI0026417			MIMAT0030998
mir-8072	rejected	MI0025908			MIMAT0030999
mir-8073	rejected	MI0025909			MIMAT0031000
mir-8074	rejected	MI0025910			MIMAT0031001
mir-8075	rejected	MI0025911			MIMAT0031002
mir-8076	rejected	MI0025912			MIMAT0031003
mir-8077	rejected	MI0025913			MIMAT0031004
mir-8078	rejected	MI0025914			MIMAT0031005
mir-8079	rejected	MI0025915			MIMAT0031006
mir-8080	rejected	MI0025916			MIMAT0031007
mir-8081	rejected	MI0025917			MIMAT0031008
mir-8082	rejected	MI0025918			MIMAT0031009
mir-8083	rejected	MI0025919			MIMAT0031010
mir-8084	rejected	MI0025920			MIMAT0031011
mir-8085	rejected	MI0025921			MIMAT0031012
mir-8086	rejected	MI0025922			MIMAT0031013
mir-8087	rejected	MI0025923			MIMAT0031014
mir-8088	rejected	MI0025924			MIMAT0031015
mir-8089	rejected	MI0025925			MIMAT0031016
mir-8485	rejected	MI0027288			MIMAT0033692
mir-9500	rejected	MI0029185			MIMAT0035542
